"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"1 Jul 2024 12:00:11 pm UTC","22390808312","Order
","408-6979356-0775563","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Panoor","KERALA","670692","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"1 Jul 2024 12:00:44 pm UTC","22390808312","Order
","402-2719250-0297114","Brush_555","Oil Brush for Cooking | Silicone Brush for Oiling | Baking Essentials | Easy to Use,Use for Baking, Grilling, Spreader, Tandoor & BBQ | Durable, Multi","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GURUGRAM","HARYANA","122006","210.00","0","0","0","0","0","0","0","-12.39","0","-4.72","0","192.89"
"1 Jul 2024 12:02:57 pm UTC","22390747912","Order
","406-3753585-6778704","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GURUGRAM","HARYANA","122022","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"1 Jul 2024 12:03:24 pm UTC","22390808312","Order
","407-6427995-8532314","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","TONK","RAJASTHAN","304001","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"2 Jul 2024 1:03:28 am UTC","22390808312","Shipping Services
","402-7657708-5313964","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","55.46","0","55.46"
"2 Jul 2024 1:19:29 am UTC","22390808312","Refund
","402-7657708-5313964","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NEW DELHI","DELHI","110084","-299.00","0","0","0","0","0","0","0","17.64","0","10.62","0","-270.74"
"2 Jul 2024 9:13:42 am UTC","22390808312","Shipping Services
","405-6692783-1266767","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"2 Jul 2024 9:13:45 am UTC","22390747912","Shipping Services
","406-0768988-3157903","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46"
"2 Jul 2024 9:14:14 am UTC","22390747912","Shipping Services
","408-7552838-4464325","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46"
"2 Jul 2024 9:14:31 am UTC","22390747912","Shipping Services
","171-4201992-3429928","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
